Error: name 'Options' is not defined
         453519 function calls (429250 primitive calls) in 0.416 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      340    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      337    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      334    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      334    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      317    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      317    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      308    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      299    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      299    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
      294    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      281    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      281    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      278    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      273    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      270    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      262    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      258    0.002    0.000    0.154    0.001 __init__.py:330(_compile)
      257    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      256    0.000    0.000    0.154    0.001 __init__.py:287(compile)
      250    0.055    0.000    0.055    0.000 {built-in method _io.open_code}
      250    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      250    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      250    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  240/217    0.000    0.000    0.007    0.000 typing.py:426(inner)
    223/2    0.002    0.000    0.416    0.208 <frozen importlib._bootstrap>:1349(_find_and_load)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      222    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
    222/2    0.001    0.000    0.416    0.208 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      220    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      220    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      220    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      220    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      217    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      216    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      216    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
  215/177    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      212    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      197    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  195/191    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    195/2    0.001    0.000    0.415    0.208 <frozen importlib._bootstrap>:911(_load_unlocked)
      195    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      192    0.000    0.000    0.059    0.000 _compiler.py:576(_code)
      192    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      192    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      192    0.001    0.000    0.150    0.001 _compiler.py:743(compile)
      192    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      192    0.001    0.000    0.089    0.000 _parser.py:970(parse)
      192    0.001    0.000    0.010    0.000 _compiler.py:514(_compile_info)
      191    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      190    0.001    0.000    0.001    0.000 enum.py:1603(__and__)
      185    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      182    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      182    0.000    0.000    0.008    0.000 _parser.py:97(closegroup)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    169/1    0.001    0.000    0.416    0.416 {built-in method builtins.exec}
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
  168/165    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      167    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    167/2    0.001    0.000    0.415    0.208 <frozen importlib._bootstrap_external>:1020(exec_module)
      167    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      167    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      167    0.002    0.000    0.089    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      140    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      136    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      132    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      130    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      125    0.002    0.000    0.005    0.000 _compiler.py:470(_get_charset_prefix)
  124/106    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      123    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      122    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      118    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 enum.py:1333(value)
      106    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      104    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
      102    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       98    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       95    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       94    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       94    0.010    0.000    0.010    0.000 {built-in method posix.getcwd}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       86    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
       83    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
    80/57    0.000    0.000    0.004    0.000 typing.py:574(__getitem__)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    79/45    0.000    0.000    0.200    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
