Error: name 'Options' is not defined
         453531 function calls (429260 primitive calls) in 0.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3238    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       22    0.001    0.000    0.969    0.044 __init__.py:1(<module>)
    167/2    0.001    0.000    0.405    0.203 <frozen importlib._bootstrap_external>:1020(exec_module)
      334    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1006    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      190    0.001    0.000    0.001    0.000 enum.py:1603(__and__)
     1514    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      743    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      943    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     1119    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      876    0.000    0.000    0.001    0.000 enum.py:1585(_get_value)
     2694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1587    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
       83    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
    464/4    0.000    0.000    0.404    0.101 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      337    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      960    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      588    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
  195/191    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      192    0.000    0.000    0.059    0.000 _compiler.py:576(_code)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  736/679    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.005    0.005 packages.py:1(<module>)
       57    0.000    0.000    0.003    0.000 typing.py:753(Union)
      220    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  215/177    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1575    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      191    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
  240/217    0.000    0.000    0.007    0.000 typing.py:426(inner)
      130    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
     1575    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        6    0.000    0.000    0.003    0.000 typing.py:2998(__new__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.002    0.001 socks.py:1(<module>)
      299    0.000    0.000    0.001    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      222    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      278    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       28    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
       68    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      102    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       64    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
      755    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      281    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      257    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      182    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      308    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      317    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  168/165    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      750    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      216    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      545    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      357    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       57    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      299    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      399    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      344    0.000    0.000    0.006    0.000 {built-in method builtins.next}
      126    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       46    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
      192    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      136    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      256    0.000    0.000    0.154    0.001 __init__.py:287(compile)
      357    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      384    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      550    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      220    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      547    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.021    0.007 utils.py:1(<module>)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       14    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      384    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
    79/45    0.000    0.000    0.197    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      217    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       57    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      317    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.068    0.068 dammit.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      531    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
    44/32    0.000    0.000    0.014    0.000 css_parser.py:579(parse_pseudo_class)
      360    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      182    0.000    0.000    0.008    0.000 _parser.py:97(closegroup)
       94    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      220    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.076    0.076 css_parser.py:1(<module>)
      349    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       34    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       52    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       69    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       52    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
      185    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      281    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        2    0.000    0.000    0.006    0.003 request.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
    40/31    0.000    0.000    0.014    0.000 css_parser.py:746(parse_pseudo_open)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
    27/14    0.000    0.000    0.240    0.017 {built-in method builtins.__import__}
        7    0.000    0.000    0.003    0.000 typing.py:2979(_make_nmtuple)
        2    0.000    0.000    0.033    0.017 connection.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.010    0.010 ssl.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        3    0.000    0.000    0.036    0.012 response.py:1(<module>)
        1    0.000    0.000    0.158    0.158 element.py:1(<module>)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      340    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       70    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
        1    0.000    0.000    0.020    0.020 url.py:1(<module>)
      374    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       52    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       39    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.003    0.002 models.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        3    0.000    0.000    0.088    0.029 exceptions.py:1(<module>)
       23    0.000    0.000    0.001    0.000 typing.py:806(Optional)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    80/57    0.000    0.000    0.004    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.039    0.039 client.py:1(<module>)
       95    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
      132    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      106    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
      212    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
  124/106    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      197    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      167    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    24/21    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
        6    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.013    0.013 cookiejar.py:1(<module>)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.051    0.051 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
      109    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      140    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
        1    0.000    0.000    0.028    0.028 ssl_.py:1(<module>)
        2    0.000    0.000    0.005    0.003 abc.py:1(<module>)
        1    0.000    0.000    0.019    0.019 adapters.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
       14    0.000    0.000    0.000    0.000 enum.py:983(_find_data_type_)
       10    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        5    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
    30/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       54    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       58    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       12    0.000    0.000    0.000    0.000 functools.py:686(_c3_merge)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       51    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        2    0.000    0.000    0.030    0.015 api.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       24    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       16    0.000    0.000    0.019    0.001 css_parser.py:1149(process_selectors)
        1    0.000    0.000    0.005    0.005 _typing.py:1(<module>)
